Date,Close/Last,Volume,Open,High,Low
09/22/2023,1776.50,--,1787.52,1791.14,1776.50
09/21/2023,1810.10,--,1795.22,1795.80,1781.82
09/20/2023,1826.53,--,1834.44,1843.50,1810.08
09/19/2023,1834.30,--,1834.39,1840.56,1823.05
09/18/2023,1847.03,--,1847.71,1847.71,1834.30
09/15/2023,1847.03,--,1861.56,1861.68,1840.00
09/14/2023,1866.63,--,1855.30,1868.17,1854.37
09/13/2023,1840.84,--,1855.25,1857.00,1837.56
09/12/2023,1855.32,--,1851.57,1864.33,1851.29
09/11/2023,1855.14,--,1863.11,1866.55,1853.88
09/08/2023,1851.54,--,1856.05,1857.86,1848.59
09/07/2023,1855.76,--,1871.62,1871.62,1848.72
09/06/2023,1874.28,--,1880.74,1890.83,1864.46
09/05/2023,1880.45,--,1916.28,1916.28,1880.45
09/01/2023,1920.83,--,1908.17,1926.81,1908.17
08/31/2023,1899.68,--,1904.36,1913.20,1898.95
08/30/2023,1903.21,--,1893.47,1908.89,1889.28
08/29/2023,1895.54,--,1868.67,1896.66,1864.15
08/28/2023,1869.01,--,1859.33,1877.45,1859.33
08/25/2023,1853.63,--,1850.61,1861.85,1831.95
08/24/2023,1846.28,--,1868.32,1871.86,1845.98
08/23/2023,1870.03,--,1851.86,1873.48,1849.83
08/22/2023,1850.84,--,1860.00,1866.19,1847.27
08/21/2023,1856.01,--,1860.13,1863.71,1846.30
08/18/2023,1859.42,--,1841.01,1864.68,1830.84
08/17/2023,1850.06,--,1874.16,1877.83,1850.06
08/16/2023,1871.52,--,1893.98,1901.43,1871.52
08/15/2023,1895.75,--,1913.63,1913.63,1895.75
08/14/2023,1920.49,--,1919.95,1920.90,1903.52
08/11/2023,1925.11,--,1918.20,1929.38,1914.10
08/10/2023,1922.62,--,1933.98,1953.14,1916.61
08/09/2023,1930.77,--,1946.66,1946.66,1925.13
08/08/2023,1947.42,--,1945.10,1947.63,1924.23
08/07/2023,1958.94,--,1959.12,1961.49,1944.81
08/04/2023,1957.46,--,1961.77,1977.49,1955.14
08/03/2023,1961.40,--,1962.40,1970.54,1948.70
08/02/2023,1966.83,--,1981.28,1981.28,1957.13
08/01/2023,1994.17,--,1996.89,1996.89,1976.79
07/31/2023,2003.18,--,1984.80,2003.62,1984.80
07/28/2023,1981.54,--,1964.97,1983.84,1964.97
07/27/2023,1954.90,--,1988.62,1994.82,1949.09
07/26/2023,1980.36,--,1964.57,1984.78,1962.49
07/25/2023,1966.11,--,1963.62,1976.93,1961.42
07/24/2023,1965.68,--,1961.04,1973.32,1958.33
07/21/2023,1960.26,--,1976.94,1981.64,1958.74
07/20/2023,1967.16,--,1984.52,1984.52,1960.17
07/19/2023,1984.89,--,1981.78,1990.25,1977.25
07/18/2023,1976.07,--,1952.11,1977.58,1952.11
07/17/2023,1951.27,--,1929.42,1958.05,1926.64
07/14/2023,1931.09,--,1949.86,1949.86,1920.34
07/13/2023,1950.89,--,1937.90,1952.54,1936.51
07/12/2023,1933.38,--,1931.83,1944.23,1931.28
07/11/2023,1913.36,--,1899.26,1915.18,1895.88
07/10/2023,1895.25,--,1862.21,1895.57,1860.42
07/07/2023,1864.66,--,1843.16,1878.90,1843.16
07/06/2023,1842.23,--,1867.13,1867.13,1823.91
07/05/2023,1872.91,--,1891.96,1891.96,1872.91
07/03/2023,1896.78,--,1887.03,1898.60,1885.63
06/30/2023,1888.73,--,1889.20,1898.40,1887.55
06/29/2023,1881.59,--,1860.26,1883.77,1860.26
06/28/2023,1858.71,--,1847.60,1859.00,1842.30
06/27/2023,1849.93,--,1825.76,1855.11,1819.80
06/26/2023,1823.26,--,1821.34,1841.06,1819.80
06/23/2023,1821.63,--,1835.43,1838.16,1818.81
06/22/2023,1848.18,--,1860.03,1860.03,1843.92
06/21/2023,1863.01,--,1862.39,1873.96,1855.08
06/20/2023,1866.70,--,1871.49,1871.49,1856.20
06/16/2023,1875.47,--,1900.12,1906.83,1868.65
06/15/2023,1889.28,--,1870.17,1890.09,1866.26
06/14/2023,1874.10,--,1898.74,1904.92,1864.08
06/13/2023,1896.33,--,1878.09,1903.00,1878.09
06/12/2023,1873.21,--,1866.77,1880.45,1863.10
06/09/2023,1865.71,--,1881.27,1881.74,1862.50
06/08/2023,1880.78,--,1886.03,1886.03,1867.91
06/07/2023,1888.45,--,1861.20,1893.56,1861.20
06/06/2023,1855.40,--,1804.67,1859.39,1801.59
06/05/2023,1806.71,--,1825.77,1825.77,1797.27
06/02/2023,1830.91,--,1782.34,1831.71,1782.34
06/01/2023,1767.94,--,1750.86,1773.01,1744.37
05/31/2023,1749.65,--,1761.33,1765.41,1736.82
05/30/2023,1767.29,--,1776.61,1784.71,1761.35
05/26/2023,1773.02,--,1755.36,1774.69,1755.29
05/25/2023,1754.60,--,1767.10,1767.10,1741.24
05/24/2023,1767.00,--,1787.71,1787.71,1761.20
05/23/2023,1787.71,--,1792.33,1816.40,1787.52
05/22/2023,1795.38,--,1777.64,1801.39,1776.96
05/19/2023,1773.72,--,1795.99,1800.52,1769.02
05/18/2023,1784.86,--,1770.82,1787.36,1766.29
05/17/2023,1774.50,--,1744.11,1776.90,1737.39
05/16/2023,1736.18,--,1755.16,1755.16,1736.16
05/15/2023,1761.55,--,1744.66,1768.75,1744.21
05/12/2023,1740.85,--,1748.14,1753.23,1731.34
05/11/2023,1744.71,--,1748.89,1749.44,1736.84
05/10/2023,1759.51,--,1769.58,1772.93,1743.63
05/09/2023,1749.68,--,1747.44,1756.09,1737.70
05/08/2023,1754.47,--,1766.42,1768.21,1748.32
05/05/2023,1759.88,--,1742.52,1763.78,1742.52
05/04/2023,1718.81,--,1727.24,1728.39,1704.82
